Összességében	összesség	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
nettó	nettó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
22	22	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
30	30	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
IVECO	IVECO	PROPN	Case=Nom|Number=Sing	
típusú	típusú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
alváz	alváz	NOUN	Case=Nom|Number=Sing	
gyári	gyári	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
utángyártott	utángyártott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
alkatrészek	alkatrész	NOUN	Case=Nom|Number=Plur	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
IVECO	IVECO	PROPN	Case=Nom|Number=Sing	
típusú	típusú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
alváz	alváz	NOUN	Case=Nom|Number=Sing	
gyári	gyári	ADJ	Case=Nom|Degree=Pos|Number=Sing	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alkatrész	alkatrész	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
-	-	PUNCT	_	
nettó	nettó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
30	30	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
IVECO	IVECO	PROPN	Case=Nom|Number=Sing	
típusú	típusú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
alváz	alváz	NOUN	Case=Nom|Number=Sing	
utángyártott	utángyártott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
alkatrész	alkatrész	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
-	-	PUNCT	_	
nettó	nettó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
30	30	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

