Informatikai	informatikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eszközök	eszköz	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
150	150	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
asztali	asztali	ADJ	Case=Nom|Degree=Pos|Number=Sing	
PC	PC	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
370	370	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
asztali	asztali	ADJ	Case=Nom|Degree=Pos|Number=Sing	
PC	PC	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
3	3	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
140	140	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
asztali	asztali	ADJ	Case=Nom|Degree=Pos|Number=Sing	
PC	PC	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
4	4	NUM	Case=Nom|NumType[sem]=Time|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
30	30	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Notebook	notebook	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Notebook	notebook	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
200	200	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Notebook	notebook	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
70	70	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Notebook	notebook	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
adásv	adásv	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
szerz	szerz	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
